_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
915491,4486,21166,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915495,4486,9904,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
915500,4486,9565,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915501,4486,22782,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915502,4486,22908,ponty bistro,"2375 adam clayton powell jr blvd, ,",10030,french senegalese,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915629,4493,21380,a taste of seafood express,"2530 135th st frederick douglass blvd, ,",10030,seafood,a taste of seafood restaurant,2530 frederick douglass blvd,10030,seafood
915748,4499,16562,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,africa kine,2267 adam clayton powell jr blvd,10030,african
915751,4499,19108,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915754,4499,10397,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
915755,4499,21166,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915759,4499,9904,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
915764,4499,9565,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915765,4499,22782,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915766,4499,22908,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915880,4504,16562,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,africa kine,2267 adam clayton powell jr blvd,10030,african
915883,4504,19108,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915887,4504,21166,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915896,4504,9565,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
915897,4504,22782,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915898,4504,22908,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
915913,4505,16562,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,africa kine,2267 adam clayton powell jr blvd,10030,african
915916,4505,19108,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
915920,4505,21166,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
915930,4505,22782,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
915931,4505,22908,johnny kaks international,"2453 adam clayton powell junior blvd,",10030,salad seafood vegetarian,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
916045,4509,16562,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),africa kine,2267 adam clayton powell jr blvd,10030,african
916048,4509,19108,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
916051,4509,10397,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
916052,4509,21166,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
916056,4509,9904,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
916061,4509,9565,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
916062,4509,22782,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
916063,4509,22908,ihop,"2290 adam clayton powell jr blvd, ,",10030,breakfast & brunch american (traditional),johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
916084,4512,10397,fu on kitchen,"2419 adam clayton powell, ,",10030,restaurants,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
916177,4515,16562,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,africa kine,2267 adam clayton powell jr blvd,10030,african
916180,4515,19108,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
916183,4515,10397,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
916184,4515,21166,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
916188,4515,9904,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
916193,4515,9565,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
916194,4515,22782,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
916195,4515,22908,little harlem fried chicken,2261 adam clayton powell jr blvd,10030,chicken wings burgers pizza,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
916340,4524,22125,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,make my cake,2380 adam clayton powell boulevard,10030,bakery
916342,4524,16562,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,africa kine,2267 adam clayton powell jr blvd,10030,african
916345,4524,19108,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
916349,4524,21166,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
