name,address,zipcode,cuisine
maldonado mexican restaurant,1726 amsterdam avenue,10031,mexican
chinese fried chicken,13101312 lafayette avenue,10474,chinese
little negril jamaican cuisine,3470 boston rd,10469,caribbean
trattoria lucia,24763 jamaica avenue,11426,italian
taqueria coatzingo,7605 roosevelt avenue,11372,mexican
mi tierra ecuatoriana,334 menahan st,11237,"latin (cuban, dominican, puerto rican, south & central american)"
crescent grill,3840 crescent st,11101,american
"buffalo wild wings, peets coffee & tea, bento sushi",nka jfk international airport,11430,american
bistro sk,273 city island avenue,10464,french
giacomo's wood fired pizza,7902 third avenue,11209,italian
quality meats,57 west   58 street,10019,steak
sotto 13,140 west   13 street,10011,italian
yum yum too,662 9 avenue,10036,thai
gente,153 east   45 street,10017,italian
saba's pizza,1376 lexington avenue,10128,pizza
rice & beans coffee shop & grill,14701 liberty ave,11435,spanish
anaiah restaurant,744 myrtle ave,11205,"latin (cuban, dominican, puerto rican, south & central american)"
junior's fresh kitchen,52 mercer street,10013,american
little ochie jamaican cuisine,2492 7 avenue,10030,caribbean
el pitallito restaurant,3854 broadway,10032,spanish
estrella mexican restaurant,106 e 183rd st,10453,mexican
wang xiang lou restaurant,135-25a 40th road,11354,chinese
singas famous pizza,4369 kissena boulevard,11355,pizza
russ pizza,745 manhattan avenue,11222,pizza
prima pizza,9215 jamaica ave,11421,pizza/italian
latourette golf course,1001 richmond hill road,10306,american
dublin house,225 west   79 street,10024,irish
taste of dolly's pizzeria & restaurant,4007 111 street,11368,pizza/italian
mad river bar & grille,1442 3 avenue,10028,american
wendy's,3939 broadway,10032,american
famous famiglia pizzeria,757 broadway,10003,pizza
16 handles,3707 30 avenue,11103,"ice cream, gelato, yogurt, ices"
creole fusion,11144 springfield blvd,11429,caribbean
caffe bene,1611 broadway,10019,american
pronto pizza,4519 28 avenue,11103,pizza
krystal pastry shop,6902 roosevelt avenue,11377,filipino
jean danet french pastry,7526 5 avenue,11209,bakery
new york shake & burger,14701 liberty ave,11435,american
on the rocks,696 10 avenue,10019,american
678 aurora catering,3050 whitestone expy,11354,asian
gatsby's,53 spring street,10012,american
chip shop,129 atlantic avenue,11201,english
kazuza,107 avenue a,10009,middle eastern
la baguette shop,1028 nostrand ave,11225,cafã©/coffee/tea
mcdonald's,2049 broadway,10023,hamburgers
lucky star,6415 20 avenue,11204,chinese
markis place,4403 30 avenue,11103,armenian
peggy o'neill's,1904 surf avenue,11224,american
kennedy pizza & chicken,294 nostrand avenue,11216,chicken
cafe b'way 46,146 w 46th st,10036,american
sonny's roti shop,118-06 liberty avenue,11419,caribbean
usuluteco 2 restaurante salvadoreno,5014 3 avenue,11220,"latin (cuban, dominican, puerto rican, south & central american)"
mistura peruana restaurant,8423 jamaica avenue,11421,spanish
black iris,228 dekalb ave,11205,mediterranean
kriss west indian restaurant,11204 farmers boulevard,11412,caribbean
lulu & po,154 carlton avenue,11205,american
lenny's pizza,1969 86 street,11214,pizza
oligarch,8615 lefferts blvd,11418,jewish/kosher
vinny vincenz,231 1 avenue,10003,pizza
patoug restaurant & catering,22006 horace harding expressway,11364,middle eastern
insomnia cookies,405 amsterdam avenue,10024,american
la cantina ecua-mex bar & billiard,3454 broadway,10031,mexican
mis tierras colombianas,5408 roosevelt ave,11377,"latin (cuban, dominican, puerto rican, south & central american)"
the coffee bean tea & leaf,189 bleecker street,10012,cafã©/coffee/tea
juicy bakery and coffee shop,16817 union tpke,11366,"juice, smoothies, fruit salads"
las llaves de chile,10802b northern blvd,11368,chilean
soju haus,315 5th ave,10016,korean
sing hua kitchen,1842 flatbush avenue,11210,chinese
tian jin chinese restaurant,13502 roosevelt avenue,11354,chinese
market restaurant (c-d block),355 food center drive,10474,american
totto ramen,248 e 52nd st,10022,japanese
tea shop & bakery,6109 utopia parkway,11365,chinese
canteen cafe,125 barclay street,10007,american
flex mussels,154 west   13 street,10011,seafood
v bar,132 1 avenue,10009,italian
maguro sushi,160 east   28 street,10016,japanese
el camion cantina,194 avenue a,10009,mexican
friendly's,125 church avenue,11218,chinese
i am thai express restaurant,4908 43 avenue,11377,thai
trattoria l'incontro,2176 31 street,11105,italian
salinas ecuadorian bar & restaurant,10202 northern boulevard,11368,"latin (cuban, dominican, puerto rican, south & central american)"
kam fung restaurant,5221 avenue n,11234,chinese
muchmore's,2 havemeyer street,11211,cafã©/coffee/tea
round two karaoke,3611 164 street,11358,korean
boba guys,23 clinton st,10002,other
beach bar,2722 gerritsen ave,11229,american
jerusalem pizza,1424 avenue m,11230,pizza
lan larb,637 2nd ave,10016,thai
mochaburger + subs express,1603 2nd ave,10028,american
"dunkin' donuts, baskin robbins",6365 woodhaven boulevard,11374,donuts
uncle vanya,315 west   54 street,10019,russian
rinconcito tepeyac,381 east  138 street,10454,mexican
jack the horse tavern,66 hicks street,11201,american
king fried chicken,266 willis ave,10454,chicken
kingston bake shop,380 kingston avenue,11225,jewish/kosher
la isla restaurant,276 east 149 street,10451,spanish
la nueva juquila restaurant,2106 amsterdam avenue,10032,mexican
lee's restaurant,1546 myrtle ave,11237,chinese
new bay coffee shop luncheonette,1950 86 street,11214,american
pepe rosso social,173 mott st,10013,italian
mi pueblito bakery/comida tipica mexicana,111 east  167 street,10452,mexican
molly's cupcakes,228 bleecker street,10014,bakery
luigi's catering,11208 101 avenue,11419,italian
east meets west chinese restaurant,16130 cross bay boulevard,11414,chinese
a & s pizzeria,87 stuyvesant place,10301,pizza/italian
canton lounge,70 mott st,10013,chinese
neil's cofee shop,961 lexington avenue,10021,american
corbet and conley,188 3 avenue,10003,delicatessen
lucky pizza,2714 bridge plaza south,11101,pizza
golden krust caribbean bakery & grill,1014 nostrand avenue,11225,caribbean
matryoshka (spa 88),88 fulton street,10038,russian
barrage,401 west   47 street,10036,american
red olive,660 lexington avenue,10022,american
brisas express restaurant,1360 white plains road,10462,"latin (cuban, dominican, puerto rican, south & central american)"
new aroma,465 west  125 street,10027,chinese
takesushi,4346 42 street,11104,japanese
papi's grill,161 7th ave,11215,mexican
true colors bar,7915 roosevelt avenue,11372,"latin (cuban, dominican, puerto rican, south & central american)"
the new thompson diner,3244 queens boulevard,11101,american
le gamin,108 franklin street,11222,french
kaylah's hut,805 prospect avenue,10455,caribbean
royal fried chicken,13 avenue d,10009,chicken
sahara's turkish cuisine,513 2nd ave,10016,turkish
tom's restaurant,2880 broadway,10025,american
indikitch,25 w 23rd st,10010,indian
chop shop kitchen,41 w 24th st,10010,asian
nickolas' deli restaurant,6945 51st ave,11377,spanish
soho room,203 spring st,10012,american
sal & paul's pizzeria,1686 pitkin avenue,11212,pizza
borinquenya deli restaurant,5505 4th ave,11220,"latin (cuban, dominican, puerto rican, south & central american)"
lupita's restaurant,904 melrose ave,10451,mexican
smith & wollensky,201 east 49th street,10017,american
starbucks,607 brighton beach ave,11235,cafã©/coffee/tea
tacos matamoros restaurant,4508 5 avenue,11220,mexican
just salad,600 3 avenue,10016,salads
fresh central gourmet deli,650 first avenue,10016,american
scalinatella restaurant,201 east   61 street,10065,italian
surya sweets & snacks,25018 hillside avenue,11426,vegetarian
lugo lounge & restaurant,1089 cypress avenue,11385,"latin (cuban, dominican, puerto rican, south & central american)"
pee dee steak,2006 3 avenue,10029,american
j east,175 3 avenue,10003,chinese
a-wah restaurant,5 catherine street,10038,chinese
tijuana tacos barandgrill,330 east   53 street,10022,mexican
bamboo garden restaurant,9505 avenue l,11236,caribbean
best bagel & coffee,225 west 35 street,10001,bagels/pretzels
zz clam bar,169 thompson st,10012,american
smile to go,22 howard street,10013,american
big easy cajun,9015 queens boulevard,11373,cajun
veggies cafe,524 nostrand ave,11216,vegetarian
lebron restaurant,1567a pitkin ave,11212,spanish
royal caribbean bakery & restaurant,3815 dyre ave,10466,caribbean
la iguana azul,8 giffords lane,10308,spanish
dunkin donuts,155 w 35th st,10001,donuts
abdullah sweets and restaurant,91 church ave,11218,bangladeshi
acappella restaurant,1 hudson street,10013,italian
magic soul food,13450 guy r brewer boulevard,11434,caribbean
kahlua's cafe & restaurant,2117 3 avenue,10029,mexican
grand bo ky restaurant,214216 grand street,10013,chinese
amnon kosher pizza,4814 13 avenue,11219,jewish/kosher
tony's pier restaurant,1 city island ave,10464,seafood
o'neill's,64-21 53 drive,11378,american
starbucks,99 wall street,10005,cafã©/coffee/tea
thai elephant restaurant,2109 31 street,11105,thai
arno ristorante,141 west   38 street,10018,italian
giovanni rana restaurant,75 9 avenue,10011,italian
thai suki,60-15 woodside ave,11377,thai
taqueria chila,8628 roosevelt ave,11372,spanish
saketumi,118 montague st,11201,asian
subway,1864 86th st,11214,sandwiches
sal's pizzeria,8507 jamaica avenue,11421,pizza/italian
armando's restaurant,143 montague st,11201,italian
oishii sushi japanese restaurant,3704 ditmars boulevard,11105,japanese
joey pepperoni's pizza,114 e fordham rd,10468,pizza
piaxtla es mexico deli,505 51 street,11220,mexican
momofuku ko,8 extra pl,10003,japanese
fisherman's cove,4 newkirk plaza,11226,caribbean
recuerdo restaurant,14605 34th ave,11354,"latin (cuban, dominican, puerto rican, south & central american)"
oficina latina,24 prince street,10012,"latin (cuban, dominican, puerto rican, south & central american)"
nick's lobsters,2777 flatbush avenue,11234,seafood
abitino's pizza,1435 broadway,10018,pizza/italian
the coffee bean & tea leaf,350 w 14th st,10014,cafã©/coffee/tea
new spring garden,9426 roosevelt ave,11372,chinese
j and b pizzeria,2220 forest avenue,10303,pizza/italian
roti roll / suite,992 amsterdam avenue,10025,indian
porto bello pizzeria & restaurant,43-18 ditmars blvd,11105,pizza
masaki teriyaki & sushi,11 putnam avenue,11238,japanese
bus stop diner,3341 broadway,10031,american
lucky dog,303 bedford avenue,11211,american
ocean 8 at brownstone billiards,308 flatbush avenue,11238,american
brooklyn steak co.,1316 avenue m,11230,jewish/kosher
