name,address,zipcode,cuisine
Soy,"102 Suffolk St, ,",10002,Japanese
Pho Vietnam 87,"87 Chrystie St, ,",10002,Vietnamese
SakaMai,"157 Ludlow St, ,",10002,Japanese Tapas/Small Plates Cocktail Bars
Gen Ramen House,"112 eldridge st,",10002,Ramen Dim Sum
Fools Gold NYC,"145 E Houston St, ,",10002,Gastropubs Pubs Cocktail Bars
La Margarita Pizza,"151 Ludlow St, ,",10002,Pizza
Ninja Sushi NYC,"109 Madison St,",10002,Sushi Bars Tacos
One Mile House,"10 Delancey St, ,",10002,Bars American (Traditional)
Sel Rrose,"1 Delancey St, ,",10002,Cocktail Bars Seafood Cafes
Souvlaki GR,"116 Stanton St, ,",10002,Greek
Long Xin Restaurant,"50 Eldridge St, ,",10002,Chinese
Rizzo's Fine Pizza,"17 Clinton St, ,",10002,Pizza
Farmhouse Restaurant,"81 Ludlow St, ,",10002,American (New) Breakfast & Brunch
Kam Boat Bakery & Cafe,"111 Bowery St, ,",10002,Bakeries Cafes
Le Turtle,"177 Chrystie St, ,",10002,Modern European French
Bite of Hong Kong 泰仁軒,"81 Chrystie St, ,",10002,Seafood Cantonese
Jadis,"42 Rivington St, ,",10002,French Wine Bars
Pala,"198 Allen St,",10002,Pizza Italian Gluten-Free
Koneko,"26 Clinton St, ,",10002,Cafes Venues & Event Spaces Breakfast & Brunch
CC's Cafe,"41 Monroe St, ,",10002,Cafes Breakfast & Brunch American (New)
Dimes,"49 Canal St, ,",10002,American (New) Salad Breakfast & Brunch
Nordic Preserves Fish and Wildlife Company,"120 Essex St, ,",10002,Scandinavian
Ling Kee Beef Jerky,"42 Canal St, ,",10002,Chinese Barbeque
Congee Bowery,"207 Bowery, ,",10002,Chinese
Little Chair Cafe,"47 Monroe St,",10002,Coffee & Tea Sandwiches Salad
Blue Ribbon Sushi Izakaya,"187 Orchard St, ,",10002,Asian Fusion Sushi Bars Breakfast & Brunch
Rochelles,"205 Chrystie St, ,",10002,Cocktail Bars American (New) Gastropubs
Cup & Saucer,"89 Canal St, ,",10002,Diners Chinese
Wu's Wonton King,"165 E Broadway, ,",10002,Cantonese Seafood Dim Sum
Lee Chung Cafe,"82 Madison St, ,",10002,Coffee & Tea Chinese
Dirt Candy,"86 Allen St, ,",10002,Vegetarian Vegan
Hotel Chantelle,"92 Ludlow St, ,",10002,French Bars
Tiny's Giant Sandwich Shop,"129 Rivington St, ,",10002,Sandwiches
Congee Village,"100 Allen St, ,",10002,Cantonese
Wong Wah Bakery House,"83 Canal St, ,",10002,Bakeries Chinese
An Choi,"85 Orchard St, ,",10002,Vietnamese Sandwiches
Kong Kee,"212 Grand St, ,",10002,Chinese
Little Canal,"26 Canal St,",10002,Coffee & Tea Cafes Wine Bars
El Rey Coffee And Luncheonette,"100 Stanton, ,",10002,Coffee & Tea American (New)
Les Crêpes & Taqueria,"25A Essex St, ,",10002,Mexican
China North Dumpling,"27 Essex St, Ste A,",10002,Chinese
Scarr's Pizza,"22 Orchard St, ,",10002,Pizza
Cheesesteak Factory,"191 E Houston St,",10002,Sandwiches Desserts
Formosa Cafe,34 Eldridge St,10002,Bubble Tea Chinese Taiwanese
Yonah Schimmel's Knish Bakery,"137 E Houston St, ,",10002,Bakeries
Pause Cafe,"3 Clinton St, ,",10002,Moroccan Cafes Juice Bars & Smoothies
Carol's Bun,"139 E Broadway, ,",10002,Chinese
LoHo Gourmet Deli,"204 Clinton St, ,",10002,Delis
99 Cents Fresh Slice Pizza,"105 Stanton St, ,",10002,Pizza
Petee's Pie Company,"61 Delancey St, ,",10002,Bakeries Comfort Food Coffee & Tea
Cata Restaurant,"245 Bowery, ,",10002,Tapas/Small Plates Cocktail Bars Mediterranean
Golden Unicorn,"18 E Broadway, ,",10002,Dim Sum Cantonese
Arancini Bros,"120 Essex St, ,",10002,Italian
Clinton Square Pizza,"201 Clinton St, ,",10002,Pizza
JES Coffee,"47 Market St, ,",10002,Cafes
Tu DO Restaurant Corporation,"119 Bowery, ,",10002,Restaurants
Black Cat LES,"172 Rivington St, ,",10002,Coffee & Tea Breakfast & Brunch Vegan
Sons of Essex,"133 Essex St, ,",10002,American (New) Bars Breakfast & Brunch
Essex Taqueria,"123 Essex St, ,",10002,Mexican
Macondo East,"157 E Houston St, ,",10002,Latin American Tapas Bars
Ying Qian Fuzhou Restaurant,"68 Forsyth Street, ,",10002,Chinese
Peasant Stock,"120 Essex St, ,",10002,Soup
Cong Ly Restaurant,"124 Hester St, ,",10002,Vietnamese
Casa Mezcal,"86 Orchard St, ,",10002,Mexican
New Wong Rest,"103 E Broadway, ,",10002,Chinese
Sticky Rice,"85 Orchard St, ,",10002,Thai Barbeque Cocktail Bars
Rice Noodle Cart,"Entrace of East Broadway MTA & Wing Shoon Seafood Restaurant, At E Broadway and Rutgers St,",10002,Food Stands Noodles
Hua Xia,"49 Division St, ,",10002,Chinese
Sushiya,"117 E Houston St, ,",10002,Sushi Bars
BistroShopp,"124 Ridge St, ,",10002,Food Stands Burgers Fast Food
Williamsburg Pizza,"277 Broome St, ,",10002,Pizza
S Wan Cafe,85 Eldridge St Lower E,10002,Cafes Chinese
Schiller's Liquor Bar,"131 Rivington St,",10002,Breakfast & Brunch American (Traditional) Bars
Iguazu Cafe & Grill,"26 Jefferson St, ,",10002,Latin American
Hok Zhou Restaurant,"93 E Broadway, ,",10002,Chinese
Khushboo Indian Restaurant,"6 Clinton St, ,",10002,Indian Wine Bars
Creperie,"135 Ludlow St, ,",10002,Creperies
One More Thai,"6 Clinton St,",10002,Thai
