name,address,zipcode,cuisine,violation_code,critical_flag,grade
sabrina's broadway pizzeria,294 broadway,11211,pizza/italian,10A,Not Critical,B
remi,145 west   53 street,10019,italian,08A,Not Critical,A
popeyes louisiana kitchen,9215 parsons boulevard,11433,chicken,10F,Not Critical,A
beijing dumpling,8838 sutphin blvd,11435,chinese,06C,Critical,A
dynaco,1112 bedford avenue,11216,american,10F,Not Critical,A
sideshows by the seashore,1208 surf avenue,11224,american,10A,Not Critical,A
ralph's famous italian ices,3285 richmond avenue,10312,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
starlets,4909 25th ave,11377,american,06B,Critical,B
food in motion,214 sullivan street,10012,american,10F,Not Critical,A
bedlam,40 avenue c,10009,american,06C,Critical,A
dunkin' donuts,1 jfk international airport,11430,donuts,04H,Critical,A
pyramid,101 avenue a,10009,american,06D,Critical,A
coffee shop diner,442 east   14 street,10009,american,10B,Not Critical,A
serena's catering hall,192 ebbitts street,10306,american,10B,Not Critical,A
blue note jazz,131 west    3 street,10012,american,06C,Critical,A
burger king,1772 rockaway parkway,11236,hamburgers,06E,Critical,A
checkers,711 e tremont ave,10457,american,10B,Not Critical,A
jadore cakes,986 winthrop st,11212,bakery,02G,Critical,A
starbucks,1 jfk intl airport blvd,11430,café/coffee/tea,10F,Not Critical,A
screamer's pizzeria,620 manhattan ave,11222,vegetarian,10E,Not Critical,A
deli & grocery,666 6th avenue,10010,delicatessen,02B,Critical,A
midway cinemas,10822 queens boulevard,11375,american,04H,Critical,A
cool ice,1872 victory boulevard,10314,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
faro,436 jefferson st,11237,american,02G,Critical,A
wine bar & ristorante,1742 2 avenue,10128,italian,10F,Not Critical,A
variety,368 graham avenue,11211,café/coffee/tea,10F,Not Critical,A
jo juice and salad bar,1065 bedford ave,11216,"juice, smoothies, fruit salads",02G,Critical,A
the tuscan gun,199 windsor pl,11215,café/coffee/tea,06D,Critical,A
la flaca coffee shop restaurant and bar,4217 102 street,11368,spanish,10A,Not Critical,A
prince pizza,1101 avenue u,11223,pizza,09C,Not Critical,A
domino's,41 east  167 street,10452,pizza,10F,Not Critical,B
gotham bar & grill,12 east   12 street,10003,american,06C,Critical,A
brooklyn fare kitchen,200 schermerhorn street,11201,american,06D,Critical,A
bklyn's tiki bar,885 4 avenue,11232,american,08A,Not Critical,A
cullen's tavern,4340 white plains road,10466,american,10J,Not Critical,A
mission dolores,249 4 avenue,11215,american,10F,Not Critical,A
the third palm tree,2145 amsterdam avenue,10032,american,06D,Critical,A
rockwood music hall,190 allen street,10002,american,10F,Not Critical,A
osaka sushi,1328 sheepshead bay road,11235,japanese,10B,Not Critical,A
gabriels  palace,9017 63rd dr,11374,jewish/kosher,04C,Critical,A
a & c guyana bakery & restaurant,847 utica avenue,11203,caribbean,04L,Critical,A
best bagel & coffee,225 west 35 street,10001,bagels/pretzels,06E,Critical,A
make my cake,2380 adam clayton powell boulevard,10030,bakery,04L,Critical,A
ralph's famous italian ices,1248 clintonville street,11357,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
toloache taqueria,83 maiden lane,10038,mexican,06C,Critical,A
new york botanical gardens - stonemill,2900 southern blvd,10458,american,06D,Critical,A
milo's yard,564 seneca ave,11385,american,06F,Critical,A
battery harris,64 frost st,11211,caribbean,10F,Not Critical,A
joyce's tavern,3823 richmond ave,10312,other,10F,Not Critical,A
silver rice,638 park pl,11238,japanese,02G,Critical,B
left bank,117 perry street,10014,american,02G,Critical,B
coco fresh tea & juice,4540 bell blvd,11361,café/coffee/tea,09A,Not Critical,A
double dragon restaurant,182 east  166 street,10456,chinese,04L,Critical,B
helen mills event space and theater,135 west   26 street,10001,american,10F,Not Critical,A
starbucks,8000 cooper avenue,11385,café/coffee/tea,10F,Not Critical,A
staten island 16 theatre,2474 forest ave,10303,american,06D,Critical,A
nacional bakery #1,1484 westchester avenue,10472,bakery,06C,Critical,A
sagar restaurant,16825 hillside avenue,11432,bangladeshi,02G,Critical,B
popeyes louisiana kitchen,4006 main street,11354,chicken,10B,Not Critical,A
whitman's,406 east    9 street,10009,american,10D,Not Critical,A
cultura pizza e vita,151 mott st,10013,pizza/italian,08B,Not Critical,A
domino's,3869 white plains road,10467,pizza,10F,Not Critical,A
habana outpost,757 fulton street,11217,american,10F,Not Critical,A
uncle louie gs italian ices & ice cream,30 giffords lane,10308,"ice cream, gelato, yogurt, ices",04L,Critical,A
